Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description,Views per Subscriber,Views per Video,Subscribers (M),Views (B),Tier
15,UC56gTxNs4f9xZ7Pa2i5xNzg,Sony Music India,70500000,58327585911,11808,IN,"Welcome to Sony Music India's official YouTube channel, the ultimate destination for music enthusiasts and fans of the Indian music scene. Immerse yourself in a world of melodies, rhythms, and harmonies as we proudly present ""Sony Music India - Home To India's Biggest Music Hits.""  Step into a realm where musical brilliance knows no bounds, and every beat resonates with the heartbeat of a nation. ",827.34,4939667.0,70.5,58.328,🟠 50–100M
16,UC22nIfOTM7KLIQuFGMKzQbg,Wave Music,69800000,48361518782,21125,IN,"Welcome to Wave Music, the leading Bhojpuri record label in India! Dive into a vibrant collection of captivating tracks from your favorite artists, including Pawan Singh, Khesari Lal Yadav, Shilpi Raj, Neelkamal Singh, Arvind Akela Kallu, Samar Singh, Dinesh Lal Yadav 'Nirhua', Ashish Yadav, Raushan Rohi, Pramod Premi, Chandan Chanchal, Gunjan Singh, Anu Dubey, Ankush Raja, Golu Gold, Shivani Sing",692.86,2289303.0,69.8,48.362,🟠 50–100M
17,UCfM3zsQsOnfWNUppiycmBuw,EminemMusic,66600000,36924540137,210,Unknown,"Marshall Bruce Mathers III, better known by his stage name Eminem (stylized as EMINƎM) and by his alter ego Slim Shady, is an American rapper, record producer, songwriter and actor. Eminem, along with his solo career, is a member of his group D12, and also one half of the hip hop duo Bad Meets Evil, with Royce da 5'9"". Eminem is one of the best-selling artists in the world and is the best-selling ",554.42,175831144.0,66.6,36.925,🟠 50–100M
18,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61800000,20349099296,555,US,"5 best buds just kickin' it. If you like Sports + Comedy, come join the Dude Perfect family!",329.27,36665044.0,61.8,20.349,🟠 50–100M
19,UC_A7K2dXFsTMAciGmnNxy-Q,Saregama Music,61300000,32881917240,10570,IN,"The proud history of Saregama (an RPSG group company) stretches back over a century to 1901. Formerly known as The Gramophone Company of India Ltd. and more popularly as HMV (His Master's Voice), Saregama was established as the first overseas Indian Branch of Electrical & Musical Industries Limited (EMI), London. From producing the first song recorded in India in 1902 by the star of yesteryears, G",536.41,3110872.0,61.3,32.882,🟠 50–100M
20,UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,59000000,37681666045,751,Unknown,Ed Sheeran x  Play - Out Now ,638.67,50175321.0,59.0,37.682,🟠 50–100M
21,UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,55200000,10521931307,170,US,New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time!  MrBeast Gaming - SUBSCRIBE OR ELSE,190.61,61893714.0,55.2,10.522,🟠 50–100M
22,UCWsDFcIhY2DBi3GB5uykGXA,IShowSpeed,51700000,7517476054,1821,US,Thank God👏🏽🙏🏽,145.41,4128213.0,51.7,7.517,🟠 50–100M
23,UCX8pnu3DYUnx8qy8V_c6oHg,Techno Gamerz,50900000,15512236453,1163,IN,"Hey Everyone! This is Ujjwal here! Welcome to ""Techno Gamerz"" YouTube Channel! I created this channel for android games i upload daily videos about mobile related games and gaming news so if you’re interested in playing games so this channel is helpful for you. Please SUBSCRIBE to Techno Gamerz, Thanks.  If you are looking for somebody to make a review of your products or product of your company, ",304.76,13338122.0,50.9,15.512,🟠 50–100M
24,UCOsyDsO5tIt-VZ1iwjdQmew,Speed Records,48300000,35851651373,13097,IN,"Speed Records, the biggest Punjabi Music Record label in the world combining feet tapping tunes accompanied with vibrant voices as the identifier of Punjabi culture. With best of artistes in Punjabi Music and a huge repertoire of hits, this is your one stop destination for Punjabi Music!  Enjoy & stay connected with us! ► Subscribe to Speed Records : http://bit.ly/SpeedRecords ► Like us on Faceboo",742.27,2737394.0,48.3,35.852,🟡 10–50M
25,UC4hGmH5sABOA70D4fGb8qNQ,Frost Diamond,46600000,14198506934,4571,ID,"Welcome Back Guys, My Name Is Frost  Disini Adalah Chanel Video Gaming, Vlog, Dll  Tapi Lebih fokus ke gaming   Jangan Lupa Tinggalin Like dan komentar Dan jangan lupa juga share, Subscribe GRATIS!!! Karna Disini saya akan Update'' Video, Jangan sampai ketinggalan, makanya SUBSCRIBE!!!  Frost",304.69,3106215.0,46.6,14.199,🟡 10–50M
26,UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,43300000,25113856444,120,Unknown,"Bruno Mars is a 16x GRAMMY®-winning global superstar, singer, songwriter, multi-instrumentalist, producer, and one of the most-streamed artists in the world. Known for his showmanship and chart-toppers, Bruno has set a number of records throughout his career, including becoming the first artist ever to hit 150 million monthly listeners on Spotify, appearing on two of the fastest songs to reach one",580.0,209282137.0,43.3,25.114,🟡 10–50M
27,UCaHEdZtk6k7SVP-umnzifmQ,TheDonato,43100000,8219056779,4001,AR,"¡BIENVENIDO A MI CANAL! Te aseguro que te reiras MUCHO CON TODOS LOS VIDEOS . No tomo las cosas demasiado en serio, pero siempre quiero traer el mejor video para ti, si te gusta la variedad entonces estas en el lugar indicado . Pásalo GENIAL! 😍✋😄💪 😍  CONTACTO : donato@trihaus.es",190.7,2054251.0,43.1,8.219,🟡 10–50M
28,UCSf0s2ogUVYpJPuzW1zpAOg,LankyBox,42000000,39162043585,10211,US,"LankyBox includes Foxy, Boxy, Ghosty, Rocky, Thicc Shark & MORE! You will see crazy gaming videos, insane animations, and lots more! ",932.43,3835280.0,42.0,39.162,🟡 10–50M
29,UC0WP5P-ufpRfjbNrmOWwLBQ,The Weeknd,39500000,35787390371,202,CA,Official YouTube channel for The Weeknd. www.theweeknd.com,906.01,177165299.0,39.5,35.787,🟡 10–50M
30,UCjIA3wwhi0QjSOXAZwOXbPA,Ozuna,38100000,28574584707,290,PR,"This is the official YouTube Channel of OZUNA. Singer, songwriter and actor from Puerto Rico and the Dominican Republic. Hits include ""Dile Que Tu Me Quiere ""Se Preparo"" ""El Farsante"" ""Vaina Loca"" ""Unica"" and ""Taki Taki"". In 2018 OZUNA was the #1 YouTube channel globally on the platform. He currently holds the Guinness Award record for Artist with the most videos to reach one billion views on YouT",749.99,98533051.0,38.1,28.575,🟡 10–50M
31,UCNApqoVYJbYSrni4YsbXzyQ,Aditya Music,36500000,38043896954,30874,IN,"Aditya Music, a popular Telugu music label. Owns the music rights of most of the films in the Tollywood industry.  Aditya Music is the perfect music hub for Telugu music lovers, offering 24/7 live music, top songs and popular hits across genres. Check out Aditya Music Youtube Channel for Latest Telugu Songs and Trailers with High Quality Super Hit Telugu Video Songs , Exclusive Audios, Music Video",1042.3,1232231.0,36.5,38.044,🟡 10–50M
32,UCam8T03EOFBsNdR0thrFHdQ,VEGETTA777,34700000,16349386612,8777,Unknown,"CODIGO CREADOR FORTNITE - VEGETTA777  ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥ UNICORNIO MORADO  ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥   INFORMACION DEL CANAL: Es un canal dedicado a los videojuegos dirigido por un chico amante de los unicornios y que vive con un duende asesino en su habitación, si te suscribes corres el riesgo de caer en mi locura, y no solo lo digo yo, también la mujer que aparece por las noches en el techo de ",471.16,1862753.0,34.7,16.349,🟡 10–50M
33,UCTkXRDQl0luXxVQrRQvWS6w,Dream,34100000,4234149855,287,US,"I am DREAM. I like playing games, streaming, coding, and making videos with my FRIENDS!",124.17,14753135.0,34.1,4.234,🟡 10–50M
34,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,33600000,33285907184,4677,Unknown,Welcome to SM Entertainment Official YouTube Channel! You can enjoy SM artist's latest videos on SMTOWN Official YouTube Channel.,990.65,7116935.0,33.6,33.286,🟡 10–50M
35,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,33100000,11012070711,8930,US,"omw to the grand line 🏴‍☠️   About Netflix: Netflix is one of the world’s leading entertainment services offering TV series, films, games and live programming across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. ",332.69,1233155.0,33.1,11.012,🟡 10–50M
36,UCNqFDjYTexJDET3rPDrmJKg,7clouds,32100000,29169970048,3346,US,"​7clouds is a record label and music curation brand on YouTube - a haven for music lovers with a family of over 25 million subscribers! We bring to you the freshest pop and electronic melodies, paired beautifully with lyric videos set against mesmerizing sky visuals. Curious? Dive into 7clouds on YouTube and let the music take you on a cloud-bound journey.  ☁️  7clouds: Where every beat touches th",908.72,8717863.0,32.1,29.17,🟡 10–50M
37,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,31800000,26799490243,2707,Unknown,"JYPnation Official YouTube  Leader In Entertainment is the value and goal that JYP Entertainment constantly pursues. JYP Entertainment strives to become the leading company of the global entertainment industry.  Founded by Asia's renowned producer Jin Young Park, the company has developed successful global artists, including god, Rain, Wonder Girls, 2PM, 2AM, miss A, GOT7, TWICE, Stray Kids, ITZY,",842.75,9900070.0,31.8,26.799,🟡 10–50M
38,UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31200000,17561205184,5307,IE,"I play videogames but I also make other content like Try not to laugh, reacting to tik toks, meme review and IRL content. A lot of people come to my channel for long let's plays, especially for Sony Exclusive games from Playstation.",562.86,3309064.0,31.2,17.561,🟡 10–50M
39,UCZSNzBgFub_WWil6TOTYwAg,Netflix India,28700000,15016243728,6764,IN,"About Netflix: Netflix is one of the world’s leading entertainment services offering TV series, films, games and live programming across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. ",523.21,2220024.0,28.7,15.016,🟡 10–50M
40,UCAuUUnT6oDeKwE6v1NGQxug,TED,27300000,3127325144,5568,US,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less) — plus originals, podcasts and exclusive content. Look for videos on Technology, Entertainment and Design as well as science, business, global issues, the arts and more.  Visit https://TED.com for our entire librar",114.55,561660.0,27.3,3.127,🟡 10–50M
41,UCR5wZcXtOUka8jTA57flzMg,netd müzik,27000000,50319344327,19584,TR,"netd müzik, anlaşmalı müzik yapım firmalarından sağladığı, Türkçe pop müzikten alternatif müziğe kadar çeşitli tarzlardaki müzik kliplerinin resmi yayın platformudur.",1863.68,2569411.0,27.0,50.319,🟡 10–50M
42,UCKqH_9mk1waLgBiL2vT5b9g,VanossGaming,26000000,16859074352,2221,US,Official Vanoss Gaming YouTube Channel.,648.43,7590758.0,26.0,16.859,🟡 10–50M
43,UCV2JkEBmtfSYGAIlprAhAyQ,شبكة العاب العرب | Arab Games Network,25500000,11031114792,7985,SA,"اسمي سيد صاحب قناة العاب ترفيهية .  أنجازاتنا :  - أكبر قناة في البحرين ( 2018,2019,2020,2021,2022,2023,2024 ) - أكبر قناة العاب في البحرين ( 2018,2019,2020,2021,2022,2023,2024 ) - أكبر قناة العاب في الشرق الاوسط ( 2019,2020,2021,2023,2024 ) - أول قناة العاب عربية تحصل على الدرع الماسي "" 10 مليون "" ( 2020 ) - أول قناة في البحرين تحصل على الدرع الماسي "" 10 مليون "" (2020 ) - أفضل قناة العاب عربية ( ",432.59,1381480.0,25.5,11.031,🟡 10–50M
44,UCke6I9N4KfC968-yRcd5YRg,SSundee,25300000,17005552696,3693,US,Welcome to my channel!  I upload a lot of funny Minecraft and Roblox Videos! I also upload random games. lol I yell a lot.  I also play random games from time to time.  -SSundee,672.16,4604807.0,25.3,17.006,🟡 10–50M
45,UC3J4Q1grz46bdJ7NJLd4DGw,MiawAug,25300000,8238624650,4752,ID,"Disini Kita Akan Seru Seruan bermain game PC, Mobile, dan Console Hehe  MiawAug's from sound of cat and dog hahaha, i like animal, and i like playing game and i'm a gamer from indonesia ^o^ check out my video while i'm gaming some games, and don't forget to subscribe.  I hope you guys will enjoy my gameplay of some games :), Be a Milovers and it's make me more happy :)  if like more ??? follow and",325.64,1733717.0,25.3,8.239,🟡 10–50M
46,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,25200000,3651571821,351,DE,"Animation videos explaining things with optimistic nihilism since 12,013.  We’re a team of illustrators, animators, number crunchers and one dog who aim to spark curiosity about science and the world we live in. To us nothing is boring if you tell a good story.  For updates on our videos and other news from the kurzgesagt universe follow us on Twitter, Facebook, Instagram and LinkedIn. ",144.9,10403339.0,25.2,3.652,🟡 10–50M
47,UCVtFOytbRpEvzLjvqGG5gxQ,KSI Music,24900000,6332877001,1269,GB,For any inquiries contact Mams Taylor – Mams@properloud.com  Catch Me If You Can And So Far Away out now -  https://lnk.to/KSI-CMIYC ,254.33,4990447.0,24.9,6.333,🟡 10–50M
48,UCzYfz8uibvnB7Yc1LjePi4g,Aphmau,24700000,28832853594,5710,US,Welcome to my Gaming Youtube Channel!    My name is Aphmau – that’s my online alias. My real name is Jess; feel free to call me whichever you prefer! Come frolic along with me in this internet world of gaming! I play games every day of the week. Wee!,1167.32,5049537.0,24.7,28.833,🟡 10–50M
49,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,24700000,6583581771,640,Unknown,Our World is Amazing.   ,266.54,10286847.0,24.7,6.584,🟡 10–50M
50,UCBYvr4SqfGQd5fTmOXVQ4Zw,ГЛЕНТ,24600000,5749927942,1056,BY,"Привет ! Я Глент и это мой канал !!! Спасибо за то, что нажал кнопку ""Подписаться"" :) Регистрация в перечне владельцев страниц в соцсетях: https://knd.gov.ru/license?id=6763bb73506f9677283a6df6&registryType=bloggersPermission ",233.74,5445008.0,24.6,5.75,🟡 10–50M
51,UC-cnbLlplnXA4oc7rR21qzg,Lyna,24200000,10763992355,5994,AR,"¡SUSCRÍBETE PARA TENER BUENA SUERTE! 🍀  Hola, soy Lyna! Amo al Señor Pato pero también soy una loca por los gatos 🐥🐈  VIDEO NUEVO TODOS LOS DÍAS!  Tiktok: http://tiktok.com/@LynitaVallejos Instagram:   http://instagram.com/LynaVallejos Twitter:  http://twitter.com/SrtaLyna Contacto: contactolynavallejos@gmail.com ",444.79,1795795.0,24.2,10.764,🟡 10–50M
52,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,24000000,4432860037,405,FI,Fast-paced 3v3 multiplayer and battle royale made for mobile! 🔥   Play with friends or solo across a variety of game modes in under three minutes. ,184.7,10945333.0,24.0,4.433,🟡 10–50M
53,UCpN-WGQgGsOrXm7nHXDdTDA,T-Series Hamaar Bhojpuri,23800000,13522699980,11574,IN,"“Music can change the world"". T-Series is India's largest Music Label & Movie Studio, believes in bringing world close together through its music. For over thirty years, we’ve been more than a label. We’ve been listeners archeologists of emotion, digging in every corner of India, collecting stories and music in all forms told in all Indian languages.  And we believe that the language of the heart ",568.18,1168369.0,23.8,13.523,🟡 10–50M
54,UCj9rK3jt8qmih4mZX0UL67g,DeGoBooM,23700000,7765836831,5834,CL,"DEGOBOOM JUGANDO POPPY PLAYTIME, SUPER BEAR ADVENTURE, GRANNY, BALDI Y MÁS",327.67,1331134.0,23.7,7.766,🟡 10–50M
55,UC9rMiEjNaCSsebs31MRDCRA,Stray Kids,23400000,11032918200,2009,Unknown,Stray Kids Official YouTube,471.49,5491746.0,23.4,11.033,🟡 10–50M
56,UCIXguhHCl8eDTkXpEuiGPUA,Jazzghost,23400000,10645312417,6333,Unknown,Jogo uns jogos e passo vergonha. CONTATO: comercial@agenciacurta.com ,454.93,1680927.0,23.4,10.645,🟡 10–50M
57,UCwppdrjsBPAZg5_cUwQjfMQ,Charlie Puth,23100000,12595074120,186,US,,545.24,67715452.0,23.1,12.595,🟡 10–50M
58,UCsooa4yRKGN_zEE8iknghZA,TED-Ed,22500000,4569102146,2339,US,"TED-Ed’s mission is to create lessons worth sharing. Feed and expand your curiosity with our award-winning animated shorts - published on YouTube and available with supplemental learning materials on ed.ted.com.  Want to suggest an idea for a TED-Ed animation, nominate an educator or animator? Visit our website at: http://ed.ted.com/get_involved.  Consider backing us on Patreon. By doing so, you d",203.07,1953443.0,22.5,4.569,🟡 10–50M
59,UCbWYmIdZ2hpVMpPhRI9pI5Q,Cadres,22400000,10425753357,3028,BR,"Minecraft channel focused on children's and teenagers' content, I hope you like it! Compre Produtos do Cadres, na minha Loja: https://lp.curtaloja.com/cadres/ Business Contact: comercial@agenciacurta.com *Vídeos as 09h, não perca!!!",465.44,3443115.0,22.4,10.426,🟡 10–50M
60,UCLbdVvreihwZRL6kwuEUYsA,Think Music India,22200000,21843228813,6914,IN,About Think Music - Official Channel  The official YouTube channel of Think Music.   ,983.93,3159275.0,22.2,21.843,🟡 10–50M
61,UCHmk8iNJHvf5mGN6_pkPc7g,Emiway Bantai,22200000,4393420052,387,IN,"The name Emiway comes from Eminem & Lil Wayne and Bantai comes from the streets of Bombay.  The Mumbai based rapper & songwriter started off releasing music in 2013 and turned out to become the biggest independent musician in India with 4 Billion+ views on his catalogue of almost 300+ songs, all independently. ",197.9,11352507.0,22.2,4.393,🟡 10–50M
62,UC5zGJZpxeZPFcds5gFcDE7Q,zbing z.,21500000,12533586180,4685,TH,"Contact Me :: pan.g@live.com ติดตามแป้งได้ที่ https://www.facebook.com/zbingzee   ::: สนใจติดต่อโฆษณาหรือสปอนเซอร์ ::: ผู้จัดการ Tel: ส้ม - 0966915493 Email: os.influencer@truedigital.com  เริ่มทำคลิปครั้งเเรก 2 เม.ย. 2014 100,000       |  13.04.2015 1,000,000    |  23.03.2016 2,000,000    |  3.10.2016   time 22.22 pm. 2,500,000    |  1.01.2017 3,000,000    |  26.03.2017 4,000,000    |  4.10.2017 ",582.96,2675259.0,21.5,12.534,🟡 10–50M
63,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,21300000,20729278314,5420,IN,"Sony Music South – Official Channel 🎶 Welcome to the official YouTube home of Sony Music Entertainment India, your one-stop destination for the latest and greatest music videos in Tamil, Telugu, and Kannada! From heartwarming love songs to electrifying kuthu beats, we bring you the most popular hits, new releases, and evergreen favorites from South India’s vibrant music scene. Whether you're vibin",973.21,3824590.0,21.3,20.729,🟡 10–50M
64,UCVAYy7_zddIx6USjXscV9Vg,Caylus  ,20700000,8499519795,2252,US,I like to play game  https://shopcaylus.com/ ,410.6,3774210.0,20.7,8.5,🟡 10–50M
65,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,20500000,4149131383,492,US,"An element of truth - videos about science, education, and anything else we find interesting.",202.4,8433194.0,20.5,4.149,🟡 10–50M
66,UCG8eSYvOQUpb9HM8zU5d6xg,RobleisIUTU,20100000,6771034852,2202,AR,Bienvenidos! Suscríbete y activa la campana si te gusta mi contenido así podes estar al tanto de los nuevos videos que suba :) Este es un canal variado así que subo lo que tenga ganas.,336.87,3074948.0,20.1,6.771,🟡 10–50M
67,UC3osN7-7XJq3NEoKZIUUx0w,E-MasterSensei,19900000,5537915662,1613,MX,"Ey qué tal, suscríbete a mi canal :)  Hola, soy E-MasterSensei, mejor conocido como E-MasterSensual. Juego cosas como GTA V, Grand Theft Auto 5 y Grand Theft Auto V... Sí, aunque este parece ser un canal de GTA 5 solamente, a veces suelo jugar otras cosas como: Minecraft, Bad Guys at School, Poppy Playtime, Descenders y más juegos!  También tengo un hermano llamado Pepito el Crack, le gusta jugar ",278.29,3433302.0,19.9,5.538,🟡 10–50M
68,UCKy1dAqELo0zrOtPkf0eTMw,IGN,19800000,21190494351,179232,US,"IGN brings you daily videos about the latest gaming and entertainment news and up to the minute events coverage.  Subscribe to IGN’s YouTube channel for video games, tech, TV, movie news, reviews, exclusive previews, and home-brewed shows like Devs React to Speedruns and IGN Inside Stories.  Daily Fix - Gaming and entertainment news every Monday through Friday. IGN First - Exclusive coverage of up",1070.23,118229.0,19.8,21.19,🟡 10–50M
69,UCo_IB5145EVNcf8hw1Kku7w,The Game Theorists,19600000,4676099925,875,US,"Hello Internet! Welcome to GAME THEORY! If you’re like us, then you’ve probably wondered about the secrets hidden in your favorite games. We explore the vast lore of Minecraft, piece together the craziest FNAF conspiracies, and cover the whole world of indie gaming on this channel. Join the ORIGINAL Team Theorist and Level up by hitting subscribe!  For even more theories, check out our other chann",238.58,5344114.0,19.6,4.676,🟡 10–50M
70,UCn_FAXem2-e3HQvmK-mOH4g,GLITCH,19500000,2778281252,230,AU,"Here you'll find fun, colourful animated shows with occasional violence and existential breakdowns :D",142.48,12079484.0,19.5,2.778,🟡 10–50M
71,UCoIiiHof6BJ85PLuLkuxuhw,Windah Basudara,19300000,5265570095,6025,ID,"Join Server GTA ku IME Roleplay, Topup terbaik cuma di Ourastore! Link di bawah ",272.83,873954.0,19.3,5.266,🟡 10–50M
72,UC0J8BQahplvTY6LjlnLf_NQ,Saregama Hum Bhojpuri,19200000,8639224650,2576,IN,"सारेगामा हम भोजपुरी पर मिले नए भोजपुरी गाने, सुपरहिट वीडियो, धमाकेदार डांसऔर ताज़ा मनोरंजन—सब एक ही जगह, हर दिन। ",449.96,3353736.0,19.2,8.639,🟡 10–50M
73,UCnSqxrSfo1sK4WZ7nBpYW1Q,Lahari Music,19100000,9584401350,8177,IN,South India's Largest Music Company #LahariMusic 🎶,501.8,1172117.0,19.1,9.584,🟡 10–50M
74,UCD5EC8IWhOFalXtePCkhJTA,Tonde Gamer,18900000,5992583230,3287,IN,Hey Guys! This Channel is mainly about Garena Free Fire LIVE Game Play & latest Updates on FREE FIRE.   Managed by XNetwork.gg For business - tonde@xnetwork.gg ,317.07,1823116.0,18.9,5.993,🟡 10–50M
75,UC1sELGmy5jp5fQUugmuYlXQ,Minecraft,18700000,3202828666,1370,SE,This is the official YouTube channel of Minecraft. We tell stories about the Minecraft Universe.  ESRB Rating: Everyone 10+ with Fantasy Violence,171.27,2337831.0,18.7,3.203,🟡 10–50M
76,UCqmld-BIYME2i_ooRTo1EOg,Mobile Legends: Bang Bang,17500000,2339861108,5022,US,"Join your friends in Mobile Legends: Bang Bang, the brand new 5v5 MOBA showdown, and fight against real players! Choose your favorite heroes and build the perfect team with your comrades-in-arms! 10-second matchmaking, 10-minute battles. Laning, jungling, pushing, and teamfighting, all the fun of PC MOBA and action games in the palm of your hand! Feed your eSports spirit! ",133.71,465922.0,17.5,2.34,🟡 10–50M
